index,brand,description,price,colour,shop,product_id,type,price_pack
9123,& Other Stories,Vestido corto rosa pastel con diseño bordado y volantes de algodón orgánico de & Other Stories,54.0,rosa,asos,1,vestido,54.0
5153,& Other Stories,Vestido corto azul cruzado de mezcla de lino de & Other Stories,43.5,azul,asos,2,vestido,43.5
5154,& Other Stories,Vestido midi blanco hueso con estampado de lunares y mangas fluidas de & Other Stories,64.0,negro,asos,3,vestido,64.0
4741,& Other Stories,Vestido corto verde de corte skater con estampado floral de & Other Stories,45.0,verde,asos,4,vestido,45.0
7461,& Other Stories,Vestido corto con estampado a rayas de algodón de & Other Stories,36.5,multicolor,asos,5,vestido,36.5
6079,& Other Stories,Vestido corto marrón y negro cruzado con estampado animal de & Other Stories,70.0,marron,asos,6,vestido,70.0
7277,& Other Stories,Vestido midi beis con cordón ajustable en la cintura de satén de & Other Stories,93.5,beis,asos,7,vestido,93.5
1562,& Other Stories,Top azul claro con escote Bardot de punto de & Other Stories,35.5,azul,asos,8,top,35.5
4810,& Other Stories,Vestido camisero midi negro con detalle retorcido de & Other Stories,73.5,negro,asos,9,vestido,73.5
3823,& Other Stories,Vestido camisero corto azul marino con estampado floral de & Other Stories,52.5,azul,asos,10,vestido,52.5
4753,& Other Stories,Vestido camisero corto azul a rayas de & Other Stories,55.0,azul,asos,11,vestido,55.0
7183,& Other Stories,"Vestido corto amplio con estampado floral, falda escalonada y lazada en el cuello de & Other Stories",40.0,rosa,asos,12,falda,40.0
6080,& Other Stories,Vestido negro con cuello alto y abertura de punto de & Other Stories,70.0,negro,asos,13,vestido,70.0
2094,& Other Stories,Top a rayas rojas y azules de manga larga de algodón de & Other Stories,18.0,multicolor,asos,14,top,18.0
4754,& Other Stories,Vestido largo negro de croché de & Other Stories,66.0,negro,asos,15,vestido,66.0
9998,& Other Stories,Vestido corto rosa cruzado de & Other Stories,29.99,rosa,asos,16,vestido,29.99
2099,& Other Stories,Top negro con abertura en forma de flor de punto de mezcla de lana de & Other Stories,41.5,negro,asos,17,top,41.5
6323,& Other Stories,Vestido semilargo rosa con detalle de botones y abertura de punto de & Other Stories,63.5,rosa,asos,18,vestido,63.5
10287,& Other Stories,Minivestido negro con manga abullonada de & Other Stories,35.05,negro,asos,19,vestido,35.05
3811,& Other Stories,Vestido largo azul escalonado con lazadas en los hombros de & Other Stories,66.0,azul,asos,20,vestido,66.0
2299,& Other Stories,Top corto a rayas a tono de manga larga de punto de canalé de & Other Stories,44.5,multicolor,asos,21,top,44.5
5135,& Other Stories,Vestido midi multicolor con estampado floral y mangas fluidas de & Other Stories,54.0,multicolor,asos,22,vestido,54.0
7305,& Other Stories,Vestido corto verde con cuello halter de lino de & Other Stories,52.5,verde,asos,23,vestido,52.5
1978,& Other Stories,Top negro de manga larga con escote Bardot de & Other Stories,35.5,negro,asos,24,top,35.5
1047,& Other Stories,Top blanco con mangas abullonadas de & Other Stories,35.5,blanco,asos,25,top,35.5
3599,& Other Stories,Vestido midi gris oscuro con espalda al aire de satén de & Other Stories,60.5,gris,asos,26,vestido,60.5
5569,& Other Stories,Vestido camisero corto azul a rayas con diseño fruncido exclusivo de & Other Stories,55.0,azul,asos,27,vestido,55.0
1296,& Other Stories,Top lila sin mangas de punto fino de & Other Stories,27.0,morado,asos,28,top,27.0
8446,& Other Stories,Vestido corto efecto tie dye con abertura en la cintura de & Other Stories,49.5,multicolor,asos,29,vestido,49.5
1166,& Other Stories,Top negro efecto purpurino con hombros descubiertos de punto de & Other Stories,65.5,negro,asos,30,top,65.5
5570,& Other Stories,Vestido midi con estampado de serpiente de malla de & Other Stories,56.5,beis,asos,31,vestido,56.5
3801,& Other Stories,Vestido corto rojo abotonado con estampado floral de & Other Stories,41.5,rojo,asos,32,vestido,41.5
7228,& Other Stories,Vestido midi amarillo con estampado marmolado de punto de & Other Stories,38.0,amarillo,asos,33,vestido,38.0
4573,& Other Stories,Vestido camisero corto beis con detalle retorcido en la parte delantera de lino de & Other Stories,71.5,beis,asos,34,vestido,71.5
