brand,description,price,colour,shop,product_id
& Other Stories,Top rosa con escote Bardot de & Other Stories,26.0,rosa,asos,1
& Other Stories,Top corto a rayas a tono de manga larga de punto de canal  de & Other Stories,44.5,multicolor,asos,2
& Other Stories,Camiseta marr n sin mangas con dise o superpuesto de & Other Stories,14.0,marron,asos,3
& Other Stories,Top amarillo de manga de casquillo con detalle fruncido de & Other Stories,25.0,amarillo,asos,4
& Other Stories,Camiseta negra con cuello redondo de & Other Stories,16.5,negro,asos,5
& Other Stories,Top negro de manga larga con detalle de abertura de punto de & Other Stories,36.5,negro,asos,6
& Other Stories,Camiseta beis melange de & Other Stories,13.5,beis,asos,7
& Other Stories,Top negro con adornos de & Other Stories,54.0,negro,asos,8
& Other Stories,Top corto negro supersuave con cuello alto de punto de & Other Stories,16.0,negro,asos,9
& Other Stories,Top negro con abertura en forma de flor de punto de mezcla de lana de & Other Stories,41.5,negro,asos,10
& Other Stories,Top lila sin mangas de punto fino de & Other Stories,27.0,morado,asos,11
& Other Stories,Top a rayas rojas y azules de manga larga de algod n de & Other Stories,18.0,multicolor,asos,12
& Other Stories,Top negro de manga corta acampanada con detalle de costuras de & Other Stories,19.5,negro,asos,13
& Other Stories,Camiseta blanca sin mangas con cuello redondeado de punto de canal  de & Other Stories,29.0,blanco,asos,14
& Other Stories,Camiseta blanca fruncida de & Other Stories,29.0,blanco,asos,15
& Other Stories,Top azul claro con escote Bardot de punto de & Other Stories,35.5,azul,asos,16
& Other Stories,Top blanco hueso y azul marino a rayas de manga larga de & Other Stories,22.5,multicolor,asos,17
& Other Stories,Top beis estilo cors  de punto de & Other Stories,54.5,beis,asos,18
& Other Stories,Top blanco hueso y verde a rayas de manga larga de & Other Stories,26.0,multicolor,asos,19
& Other Stories,Top negro y blanco estampado de malla rugosa de & Other Stories,24.0,negro,asos,20
& Other Stories,Top beis sin mangas con cuello alto de canal  de & Other Stories,39.0,beis,asos,21
& Other Stories,Top negro de malla de & Other Stories,27.5,negro,asos,22
