brand,colour,shop,product_id,type,price_pack
& Other Stories,rosa,asos,1,vestido,54.0
& Other Stories,azul,asos,2,vestido,43.5
& Other Stories,negro,asos,3,vestido,64.0
& Other Stories,verde,asos,4,vestido,45.0
& Other Stories,multicolor,asos,5,vestido,36.5
& Other Stories,marron,asos,6,vestido,70.0
& Other Stories,beis,asos,7,vestido,93.5
& Other Stories,azul,asos,8,top,35.5
& Other Stories,negro,asos,9,vestido,73.5
& Other Stories,azul,asos,10,vestido,52.5
& Other Stories,azul,asos,11,vestido,55.0
& Other Stories,rosa,asos,12,falda,40.0
& Other Stories,negro,asos,13,vestido,70.0
& Other Stories,multicolor,asos,14,top,18.0
& Other Stories,negro,asos,15,vestido,66.0
& Other Stories,rosa,asos,16,vestido,29.99
& Other Stories,negro,asos,17,top,41.5
& Other Stories,rosa,asos,18,vestido,63.5
& Other Stories,negro,asos,19,vestido,35.05
& Other Stories,azul,asos,20,vestido,66.0
& Other Stories,multicolor,asos,21,top,44.5
& Other Stories,multicolor,asos,22,vestido,54.0
& Other Stories,verde,asos,23,vestido,52.5
& Other Stories,negro,asos,24,top,35.5
& Other Stories,blanco,asos,25,top,35.5
& Other Stories,gris,asos,26,vestido,60.5
& Other Stories,azul,asos,27,vestido,55.0
& Other Stories,morado,asos,28,top,27.0
& Other Stories,multicolor,asos,29,vestido,49.5
& Other Stories,negro,asos,30,top,65.5
& Other Stories,beis,asos,31,vestido,56.5
& Other Stories,rojo,asos,32,vestido,41.5
& Other Stories,amarillo,asos,33,vestido,38.0
& Other Stories,beis,asos,34,vestido,71.5
& Other Stories,negro,asos,35,vestido,41.5
& Other Stories,marron,asos,36,camiseta,14.0
& Other Stories,negro,asos,37,vestido,52.5
& Other Stories,amarillo,asos,38,vestido,30.0
& Other Stories,negro,asos,39,top,16.0
& Other Stories,negro,asos,40,top,54.0
& Other Stories,blanco,asos,41,vestido,48.0
& Other Stories,negro,asos,42,vestido,57.0
& Other Stories,negro,asos,43,top,45.0
& Other Stories,morado,asos,44,vestido,45.0
& Other Stories,negro,asos,45,top,64.0
& Other Stories,marron,asos,46,vestido,52.25
& Other Stories,beis,asos,47,vestido,32.0
& Other Stories,rojo,asos,48,vestido,25.59
& Other Stories,amarillo,asos,49,top,25.0
& Other Stories,multicolor,asos,50,vestido,66.0
& Other Stories,multicolor,asos,51,vestido,78.5
& Other Stories,naranja,asos,52,camiseta,19.0
& Other Stories,azul,asos,53,vestido,118.5
& Other Stories,verde,asos,54,top,42.0
& Other Stories,amarillo,asos,55,vestido,64.0
& Other Stories,rojo,asos,56,vestido,90.5
& Other Stories,rojo,asos,57,vestido,32.5
& Other Stories,azul,asos,58,vestido,42.0
& Other Stories,naranja,asos,59,top,27.0
& Other Stories,blanco,asos,60,camiseta,29.0
& Other Stories,negro,asos,61,top,36.5
& Other Stories,beis,asos,62,lenceria,54.5
& Other Stories,beis,asos,63,top,39.0
& Other Stories,blanco,asos,64,camiseta,29.0
& Other Stories,beis,asos,65,vestido,111.5
& Other Stories,rojo,asos,66,vestido,90.5
& Other Stories,negro,asos,67,camiseta,16.5
& Other Stories,beis,asos,68,vestido,59.0
& Other Stories,azul,asos,69,vestido,60.5
& Other Stories,multicolor,asos,70,vestido,34.0
& Other Stories,blanco,asos,71,vestido,76.5
& Other Stories,naranja,asos,72,vestido,54.59
& Other Stories,marron,asos,73,vestido,49.5
& Other Stories,beis,asos,74,vestido,59.0
& Other Stories,verde,asos,75,vestido,41.5
& Other Stories,negro,asos,76,vestido,35.0
& Other Stories,beis,asos,77,top,22.5
& Other Stories,verde,asos,78,top,26.0
& Other Stories,verde,asos,79,vestido,66.0
& Other Stories,verde,asos,80,vestido,41.5
& Other Stories,negro,asos,81,top,19.5
& Other Stories,negro,asos,82,vestido,26.0
& Other Stories,beis,asos,83,camiseta,23.0
