customer_customer_id,payment_method,review_rating,season,product_product_id
1,Venmo,3.1,Winter,12993
2,Cash,3.1,Winter,5559
3,Credit Card,3.1,Spring,13271
4,PayPal,3.5,Spring,5251
5,PayPal,2.7,Spring,5287
6,Venmo,2.9,Summer,14590
7,Cash,3.2,Fall,5584
8,Credit Card,3.2,Winter,6194
9,Venmo,2.6,Summer,6495
10,Cash,4.8,Spring,5800
11,Bank Transfer,4.1,Fall,2295
12,Bank Transfer,4.9,Winter,15384
13,Venmo,4.5,Winter,2738
14,PayPal,4.7,Spring,802
15,Debit Card,4.7,Winter,1613
16,PayPal,2.8,Winter,592
17,Debit Card,4.1,Spring,13757
18,Venmo,4.7,Winter,11802
19,Cash,4.6,Summer,14671
20,Debit Card,3.3,Summer,3300
21,Cash,2.8,Winter,149
22,Debit Card,4.1,Winter,14089
23,Debit Card,3.2,Summer,5643
24,Credit Card,4.4,Winter,6754
25,Debit Card,2.9,Fall,2048
26,PayPal,3.6,Summer,10448
27,Credit Card,3.6,Spring,10699
28,Bank Transfer,5.0,Summer,6145
29,PayPal,4.4,Fall,17482
30,Credit Card,4.1,Fall,3389
31,Credit Card,4.7,Winter,8049
32,Venmo,4.7,Winter,11818
33,Venmo,4.9,Summer,7178
34,Cash,3.3,Summer,5168
35,PayPal,4.6,Spring,6770
36,Credit Card,4.0,Summer,7043
37,PayPal,4.6,Winter,9408
38,PayPal,2.8,Summer,16781
39,Venmo,3.7,Winter,3568
40,Credit Card,4.2,Summer,9300
41,Debit Card,4.6,Winter,13396
42,Venmo,4.5,Spring,15450
43,PayPal,4.1,Spring,5176
44,PayPal,3.7,Fall,8004
45,PayPal,4.6,Summer,17855
46,PayPal,2.9,Fall,2294
47,Cash,2.9,Summer,8052
48,Cash,4.5,Winter,6104
49,Cash,2.7,Summer,11407
50,Debit Card,4.6,Spring,583
51,Debit Card,3.7,Spring,2482
52,Credit Card,4.7,Winter,9797
53,Credit Card,2.6,Summer,8969
54,Credit Card,3.9,Winter,17449
55,Debit Card,4.2,Summer,6603
56,Credit Card,3.0,Winter,7838
57,Credit Card,4.7,Summer,14734
58,Debit Card,4.4,Summer,8320
59,Venmo,4.2,Summer,4564
60,Debit Card,4.6,Spring,11817
61,Cash,4.0,Summer,6626
62,Credit Card,4.7,Winter,5402
63,Credit Card,3.8,Spring,15792
64,Credit Card,2.7,Winter,5159
65,Debit Card,4.8,Fall,8838
66,Venmo,4.8,Spring,10934
67,Venmo,4.7,Winter,3655
68,Debit Card,4.4,Winter,5403
69,Cash,3.9,Summer,5133
70,Cash,4.4,Summer,4459
71,Debit Card,4.2,Fall,7114
72,Bank Transfer,2.9,Summer,7854
73,Bank Transfer,2.9,Winter,6192
74,Bank Transfer,2.7,Spring,16009
75,Cash,4.5,Spring,6905
76,Credit Card,2.7,Summer,13127
77,Venmo,4.2,Summer,138
78,Debit Card,3.3,Summer,13127
79,Venmo,4.7,Spring,9361
80,Bank Transfer,2.6,Winter,12643
81,Credit Card,3.3,Summer,14014
82,Credit Card,2.6,Summer,15998
83,Credit Card,4.0,Spring,11878
84,Bank Transfer,4.1,Summer,7162
85,Bank Transfer,4.4,Spring,8687
86,Debit Card,4.5,Winter,7496
87,Cash,3.7,Spring,7943
88,Debit Card,3.7,Fall,10971
89,Credit Card,3.5,Fall,14202
90,Cash,3.6,Fall,9883
91,Credit Card,2.9,Summer,3615
92,Credit Card,4.6,Winter,6521
93,Venmo,4.4,Winter,4572
94,Credit Card,4.5,Fall,4991
95,Credit Card,4.6,Spring,10129
96,PayPal,3.8,Fall,1290
97,Venmo,3.6,Spring,3087
98,Cash,4.8,Winter,5584
99,Bank Transfer,2.6,Spring,13581
100,Debit Card,3.7,Summer,5260
